,Name,Score,Category,Price_Range
713,8. خُوصَة,9.2,Café,$
714,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
715,10. البيك,9.2,Fried Chicken,$
716,11. Deers Cafe,9.2,Café,$
717,12. المذاق المغربي,9.1,Café,$
718,13. مطعم خندلة,9.1,Turkish,$$
719,14. Maqloba,9.0,Restaurant,$
720,15. Albaik,9.0,Fried Chicken,$
721,16. مضغوط تهامة,9.0,Fried Chicken,$$
722,1. Coffee Maliha,9.4,Café,$
723,2. ساين,9.4,Burgers,$
724,3. محمصة اليوم الثامن,9.4,Café,$
725,4. Less Is More,9.3,Café,$
726,5. Saheel Cafe,9.2,Café,$
727,6. Al Hatab Bakery,9.2,Bakery,$
728,7. TUL CAFE,9.2,Café,$
729,8. خُوصَة,9.2,Café,$
730,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
731,10. البيك,9.2,Fried Chicken,$
732,11. Deers Cafe,9.2,Café,$
733,12. المذاق المغربي,9.1,Café,$
734,13. مطعم خندلة,9.1,Turkish,$$
735,14. Maqloba,9.0,Restaurant,$
736,15. Albaik,9.0,Fried Chicken,$
737,16. مضغوط تهامة,9.0,Fried Chicken,$$
738,1. Coffee Maliha,9.4,Café,$
739,2. ساين,9.4,Burgers,$
740,3. محمصة اليوم الثامن,9.4,Café,$
741,4. Less Is More,9.3,Café,$
742,5. Saheel Cafe,9.2,Café,$
743,6. Al Hatab Bakery,9.2,Bakery,$
744,7. TUL CAFE,9.2,Café,$
745,8. خُوصَة,9.2,Café,$
746,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
747,10. البيك,9.2,Fried Chicken,$
748,11. Deers Cafe,9.2,Café,$
749,12. المذاق المغربي,9.1,Café,$
750,13. مطعم خندلة,9.1,Turkish,$$
751,14. Maqloba,9.0,Restaurant,$
752,15. Albaik,9.0,Fried Chicken,$
753,16. مضغوط تهامة,9.0,Fried Chicken,$$
754,1. Coffee Maliha,9.4,Café,$
755,2. ساين,9.4,Burgers,$
756,3. محمصة اليوم الثامن,9.4,Café,$
757,4. Less Is More,9.3,Café,$
758,5. Saheel Cafe,9.2,Café,$
759,6. Al Hatab Bakery,9.2,Bakery,$
760,7. TUL CAFE,9.2,Café,$
761,8. خُوصَة,9.2,Café,$
762,9. مطاعم ومطابخ باخلعه- مندي ومكتوم,9.2,Middle Eastern,$$
763,10. البيك,9.2,Fried Chicken,$
764,11. Deers Cafe,9.2,Café,$
765,12. المذاق المغربي,9.1,Café,$
766,13. مطعم خندلة,9.1,Turkish,$$
767,14. Maqloba,9.0,Restaurant,$
768,15. Albaik,9.0,Fried Chicken,$
769,16. مضغوط تهامة,9.0,Fried Chicken,$$
